url,date
https://observer.ug/features/from-kampiringisa-with-hope-juvenile-prison-looks-to-help-derailed-teenagers/,2016-12-28
https://observer.ug/news/kyambadde-i-have-no-power-as-minister/,2016-12-28
https://observer.ug/lifestyle-entertainment/ps-sserwadda-makes-case-for-aged-prisoners/,2016-12-28
https://observer.ug/business/oil-rich-bunyoro-seeks-answers-over-pipeline/,2016-12-30
https://observer.ug/news/mps-expose-rot-in-roads-authority/,2016-12-30
https://observer.ug/lifestyle-entertainment/sheebah-tops-hipipo-awards-with-11-nods/,2016-12-30
https://observer.ug/news/wolokoso-mps-nambooze-watongola-quarrel-in-parliament/,2017-01-02
https://observer.ug/news/ubc-report-shows-how-to-run-down-a-national-broadcaster/,2017-01-02
https://observer.ug/education/luweero-school-heads-urged-to-improve-emails/,2017-01-02
https://observer.ug/news/power-transfer-besigye-ready-for-dialogue-sets-terms/,2017-01-03
https://observer.ug/viewpoint/your-mail-homeland-bus-can-do-better/,2017-01-04
https://observer.ug/viewpoint/proposed-land-amendments-do-not-favour-the-poor/,2017-01-04
https://observer.ug/viewpoint/ssemujju-will-roads-dams-grow-uganda/,2017-01-04
https://observer.ug/viewpoint/editorial-new-projects-don-t-have-to-displace-existing-ones/,2017-01-04
https://observer.ug/business/mps-approve-11-3m-kuwaiti-electricity-loan/,2017-01-04
https://observer.ug/business/finance-minister-worried-about-rise-in-land-wrangles/,2017-01-04
https://observer.ug/business/govt-oil-firms-discuss-land-access-for-pipeline/,2017-01-04
https://observer.ug/business/govt-looks-to-push-up-demand-to-deal-with-high-power-tariffs/,2017-01-04
https://observer.ug/business/construction-surges-while-economy-falls/,2017-01-04
https://observer.ug/business/local-supermarkets-stand-ground-as-foreign-players-crash-out/,2017-01-04
https://observer.ug/news/kamya-orders-kcca-not-to-pay-lukwago/,2017-01-04
https://observer.ug/lifestyle-entertainment/star-trail-club-silk-moving-to-naalya/,2017-01-04
https://observer.ug/lifestyle-entertainment/gekko-lounge-in-vip-fireworks-viewing/,2017-01-04
https://observer.ug/news/baby-dies-at-arua-hospital-due-to-lack-of-oxygen/,2017-01-04
https://observer.ug/viewpoint/your-mail-investigate-pastor-sserwadda/,2017-01-06
https://observer.ug/viewpoint/national-water-100-access-project-merits-all-the-support/,2017-01-06
https://observer.ug/sports/startimes-new-deal-boosts-kcca-stadium-extension/,2017-01-06
https://observer.ug/sports/power-oilers-tip-off-best-of-seven-hoops-series/,2017-01-06
https://observer.ug/news/mps-demand-probe-into-shs-6bn-museveni-handshake/,2017-01-06
