driver,count_total,count_2016,count_2025,slope_normalised_per_1000_articles_per_year,r_value,p_value_raw,durbin_watson,pct_change_2016_to_2025,p_value_holm,trend_label
land_row_dispute,15173,273,1718,6.0310722240840775,0.20969768585042153,0.5609307649479325,2.0218004786980557,529.3040293040293,1.0,stable/mixed
delay_time_overrun,3514,50,430,3.536777154410094,0.532585703006381,0.11298499738406245,1.8044949346798176,760.0,0.5649249869203122,stable/mixed
procurement_irregularity,1555,34,190,0.6775654421756455,0.17551420451732294,0.627672955529071,2.025116487836719,458.8235294117647,1.0,stable/mixed
quality_technical_defect,1475,16,184,0.8749903769130525,0.24314551069486467,0.4984641505450037,2.2894076122486946,1050.0,1.0,stable/mixed
governance_oversight_failure,1045,11,159,2.687422488405244,0.7084268027856789,0.021844978377827885,1.8898847440082196,1345.4545454545455,0.13106987026696731,stable/mixed
contract_management_failure,898,8,125,2.7131115153694663,0.7991228442156408,0.005546047190101307,2.314182568803516,1462.5,0.03882233033070915,increasing
payment_financial_dispute,577,9,47,0.10727836132939571,0.07315645682051054,0.8408239619822205,2.560694020731218,422.22222222222223,1.0,stable/mixed
