publication_date,title,url
2016-12-17,Chaos as bailiffs attach Gulu district assets over Shs 4.4bn,https://observer.ug/news/chaos-as-bailiffs-attach-gulu-district-assets-over-shs-4-4bn/
2016-12-19,Couple sues Marie Stopes over unplanned child,https://observer.ug/news/couple-sues-marie-stopes-over-unplanned-child/
2016-12-19,"Museveni, Akena killing UPC – Bossa",https://observer.ug/news/museveni-akena-killing-upc-bossa/
2016-12-19,"Wolokoso: When Amelia, Nabilah got banging tables",https://observer.ug/news/wolokoso-when-amelia-nabilah-got-banging-tables/
2016-12-20,"FIFA fines Uganda Shs 17m, Burundi Shs 55m",https://observer.ug/news/fifa-fines-uganda-shs-17m-burundi-shs-55m/
2016-12-21,Higher education council calls for govt support on compliance,https://observer.ug/news/higher-education-council-calls-for-govt-support-on-compliance/
2016-12-21,Justice Kavuma amends his age,https://observer.ug/news/justice-kavuma-amends-his-age/
2016-12-21,Limited government business as MPs break off again,https://observer.ug/news/limited-government-business-as-mps-break-off-again/
2016-12-21,Minister hails end of Makerere strike,https://observer.ug/news/minister-hails-end-of-makerere-strike/
2016-12-21,Museveni meets Kasese elders,https://observer.ug/news/museveni-meets-kasese-elders/
2016-12-21,Residents protest against delayed Unra pay,https://observer.ug/business/residents-protest-against-delayed-unra-pay/
2016-12-21,Review committee wants UBC overhauled,https://observer.ug/news/review-committee-wants-ubc-overhauled/
2016-12-21,Unra achievements more accidental than deliberate – Katuntu,https://observer.ug/news/unra-achievements-more-accidental-than-deliberate-katuntu/
2016-12-23,Food prices stay up as drought ravages villages,https://observer.ug/business/food-prices-stay-up-as-drought-ravages-villages/
2016-12-23,Government suspends relocation of buses,https://observer.ug/news/government-suspends-relocation-of-buses/
2016-12-23,MP Mpuuga hits back at Museveni over ‘mad’ jibe,https://observer.ug/news/mp-mpuuga-hits-back-at-museveni-over-mad-jibe/
2016-12-23,Police offers security tips for festive season,https://observer.ug/news/police-offers-security-tips-for-festive-season/
2016-12-23,Police: We can’t place Desh at murder scene,https://observer.ug/news/police-we-can-t-place-desh-at-murder-scene/
2016-12-28,"Kasese: Scared residents shun bars, night prayers",https://observer.ug/news/kasese-scared-residents-shun-bars-night-prayers/
2016-12-28,Mumbere case hearing adjourned to January 12,https://observer.ug/news/jinja-court-adjourns-mumbere-case-hearing-to-january-12/
2016-12-28,"Oil should not over-dominate Uganda’s economy, WB chief advises",https://observer.ug/news/oil-should-over-dominate-uganda-s-economy-wb-chief-advises/
2016-12-30,Elumelu entrepreneurship programme calls for entries,https://observer.ug/business/elumelu-entrepreneurship-programme-calls-for-entries/
2016-12-30,Gone with the year 2016,https://observer.ug/news/gone-with-the-year-2016/
2016-12-30,"Mwenda, FDC social media war rages",https://observer.ug/news/mwenda-fdc-social-media-war-rages/
2016-12-30,Oil-rich Bunyoro seeks answers over pipeline,https://observer.ug/business/oil-rich-bunyoro-seeks-answers-over-pipeline/
2016-12-30,Poorly-staffed districts fail to deliver services,https://observer.ug/news/poorly-staffed-districts-fail-to-deliver-services/
2016-12-30,What a year! From Donald Trump to Kasese murders,https://observer.ug/news/what-a-year-from-donald-trump-to-kasese-murders/
2017-01-02,What businesses should expect in year 2017,https://observer.ug/business/what-businesses-should-expect-in-year-2017/
2017-01-04,Kasese leaders in chorus for peace at end-of-year prayers,https://observer.ug/news/kasese-leaders-in-chorus-for-peace-at-end-of-year-prayers/
2017-01-06,Parliament moots a chopper for speaker,https://observer.ug/news/parliament-moots-a-chopper-for-speaker/
2017-01-20,Katuntu to head oil cash bonus probe,https://observer.ug/news/katuntu-to-head-oil-cash-bonus-probe/
2017-02-06,Rwenzururu veterans ejected from kingdom meeting,https://observer.ug/news/rwenzururu-veterans-ejected-from-kingdom-meeting/
2017-02-15,Sheraton to mark Golden jubilee,https://observer.ug/business/sheraton-to-mark-golden-jubilee/
2017-03-03,Lawyer Muwema appeals TVO ruling in Ireland court,https://observer.ug/news/lawyer-muwema-appeals-tvo-ruling-in-ireland-court/
2017-03-03,MP Anywar airlifted to Kampala after accident in Lamwo,https://observer.ug/news/mp-anywar-airlifted-to-kampala-after-accident-in-lamwo/
2017-03-06,Norbert Mao: It’s FDC that’s in bed with NRM,https://observer.ug/news/norbert-mao-it-s-fdc-that-s-in-bed-with-nrm/
2017-03-10,How Capt Roy lost everything to Crane bank,https://observer.ug/news/how-capt-roy-lost-everything-to-crane-bank/
2017-03-15,Persons affected by refinery fault govt on broken promise,https://observer.ug/business/persons-affected-by-refinery-fault-govt-on-broken-promise/
2017-03-16,Police constable shoots self dead in Hoima barracks,https://observer.ug/news/police-constable-shoots-self-dead-in-hoima-barracks/
2017-03-20,Nabakooba: The Kaweesi I knew,https://observer.ug/news/nabakooba-the-kaweesi-i-knew/
2017-03-20,Reactions of some Ugandans to Kaweesi’s death,https://observer.ug/news/reactions-of-some-ugandans-to-kaweesi-s-death/
2017-03-22,Kaweesi wanted to join politics,https://observer.ug/news/kaweesi-wanted-to-join-politics/
2017-03-28,Ntare School suspends all 280 S.3 students over indiscipline,https://observer.ug/news/ntare-school-suspends-all-s-3-students-over-indiscipline/
2017-03-31,Bulenga police boss dies in accident,https://observer.ug/news/bulenga-police-boss-dies-in-accident/
2017-03-31,UPDF Major gunned down in Masindi,https://observer.ug/news/updf-major-gunned-down-in-masindi/
2017-04-12,Health ministry partners 10 facilities in Yellow Fever fight,https://observer.ug/news/health-ministry-partners-10-health-facilities-in-yellow-fever-fight/
2017-04-13,Hundreds grace Kabaka’s birthday,https://observer.ug/news/hundreds-grace-kabaka-s-birthday/
2017-04-19,Man who demarcated Rwenzori national park dies in Kasese,https://observer.ug/news/man-who-demarcated-rwenzori-national-park-dies-in-kasese/
2017-04-21,Sim card verification brings frustration,https://observer.ug/news/sim-card-verification-brings-frustration/
2017-04-24,Mulengani: Eala term limits can be lifted,https://observer.ug/news/mulengani-eala-term-limits-can-be-lifted/
2017-04-29,Masaka Police scraps free meals for officers,https://observer.ug/news/masaka-police-scraps-free-meals-for-officers/
2017-05-01,"I’ll retire in Uganda, says Unesco boss",https://observer.ug/news/i-ll-retire-in-uganda-says-unesco-boss/
2017-05-01,Oil cash probe MPs beg from Museveni,https://observer.ug/news/oil-cash-probe-mps-beg-from-museveni/
2017-05-03,Some media challenges are self-inflicted – ACME,https://observer.ug/news/some-media-challenges-are-self-inflicted-acme/
2017-05-08,"Police, Ssekikubo cited in land dispute",https://observer.ug/news/police-ssekikubo-cited-in-land-dispute/
2017-05-29,DP to honour Ben Kiwanuka with a multibillion building,https://observer.ug/news/dp-to-honour-ben-kiwanuka-with-a-multibillion-building/
2017-05-31,EC sets new polling date for Kyadondo East,https://observer.ug/news/ec-sets-new-polling-date-for-kyadondo-east/
2017-06-07,Mugambe’s judgement wins people’s choice global award,https://observer.ug/news/mugambe-s-judgement-wins-people-s-choice-global-award/
2017-06-12,"MPs: Why budget is good, bad for Uganda",https://observer.ug/news/mps-why-budget-is-good-bad-for-uganda/
2017-06-18,Legal officer drags NDA to court over unfair dismissal,https://observer.ug/news/legal-officer-drags-nda-to-court-over-unfair-dismissal/
2017-06-22,UPDF Captain accused of harassing relatives over land,https://observer.ug/news/updf-captain-accused-of-harassing-relatives-over-land/
2017-07-04,"Dress code: Ministry bans mini skirts, coloured hair",https://observer.ug/news/dress-code-ministry-bans-mini-skirts-coloured-hair/
2017-07-17,"Defence, Justice atop most indebted govt list",https://observer.ug/news/defence-justice-atop-most-indebted-govt-list/
2017-07-17,Iran’s giant enterprise seeks to invest in Uganda,https://observer.ug/business/iran-s-giant-enterprise-seeks-to-invest-in-uganda/
2017-07-18,Stella Nyanzi demands return to MISR,https://observer.ug/news/stella-nyanzi-demands-return-to-misr/
2017-07-21,USA pledges $62.7m for refugees in Uganda,https://observer.ug/news/usa-pledges-62-7m-for-refugees-in-uganda/
2017-07-24,Omugabi Mulindwa Muwonge bows out with a split legacy,https://observer.ug/news/omugabi-mulindwa-muwonge-bows-out-with-a-split-legacy/
2017-07-24,"South African child in HIV remission for 8 years, without drugs",https://observer.ug/news/south-african-child-in-hiv-remission-for-8-years-without-drugs/
2017-07-28,Mafabi wants Central Bank probed over Crane bank mess,https://observer.ug/news/mafabi-wants-central-bank-probed-over-crane-bank-mess/
2017-07-31,"Buganda to govt: don’t amend land laws, set up special court",https://observer.ug/news/buganda-to-govt-don-t-amend-land-laws-set-up-special-court/
2017-08-01,MP Kahonda out on bail,https://observer.ug/news/mp-kahonda-out-on-bail/
2017-08-02,Govt should only seize idle land – Alur premier,https://observer.ug/news/govt-should-only-seize-idle-land-alur-premier/
2017-08-09,ULC boss: gov’t will repossess Jinja property from Movit tycoon,https://observer.ug/news/ulc-boss-gov-t-will-repossess-jinja-property-from-movit-tycoon/
2017-08-14,Religious leaders speak out on presidential age limit,https://observer.ug/news/religious-leaders-speak-out-on-presidential-age-limit/
2017-08-23,Sheikh Kamoga gets life in prison,https://observer.ug/news/sheikh-kamoga-gets-life-in-prison/
2017-08-24,Angola awaits election results amid opposition complaints,https://observer.ug/news/angola-awaits-election-results-amid-opposition-complaints/
2017-08-28,"Museveni, Bobi Wine to square off in Kalungu poll",https://observer.ug/news/museveni-bobi-wine-to-square-off-in-kalungu-poll/
2017-08-28,SGS contract probe pins MP Sabiiti over conflict of interest,https://observer.ug/news/sgs-contract-probe-pins-mp-sabiiti-over-conflict-of-interest/
2017-09-04,NRM summons ‘errant’ MP Nambeshe over land bill,https://observer.ug/news/nrm-summons-errant-mp-nambeshe-over-land-bill/
2017-09-13,Evolution of age limit campaign since 2015,https://observer.ug/news/evolution-of-age-limit-campaign-since-2015/
2017-09-14,Two arrested for hacking into Centenary bank accounts,https://observer.ug/news/two-arrested-for-hacking-into-centenary-bank-accounts/
2017-09-20,Mao: land bill a trick to remove age limit,https://observer.ug/news/mao-land-bill-a-trick-to-remove-age-limit/
2017-09-22,"Ugandans getting poorer, states PWC expert report",https://observer.ug/business/ugandans-getting-poorer-states-pwc-expert-report/
2017-09-28,Age limit: Amnesty Int’l condemns UCC live coverage ban,https://observer.ug/news/age-limit-amnesty-int-l-condemns-ucc-live-coverage-ban/
2017-10-02,"Parliament, police count the cost of September 27 violence",https://observer.ug/news/parliament-police-count-the-cost-of-september-27-violence/
2017-10-02,"Police raid another NGO, Uhuru Institute",https://observer.ug/news/security-raids-another-ngo-uhuru-institute/
2017-10-05,Age limit: Kabale RDC under fire for disparaging Fr Gaetano,https://observer.ug/news/age-limit-kabale-rdc-under-fire-for-disparaging-fr-gaetano/
2017-10-09,Government moves to tax the rich more,https://observer.ug/news/government-moves-to-tax-the-rich-more/
2017-10-20,Can Uganda attract Chinese tourists?,https://observer.ug/business/can-uganda-attract-chinese-tourists/
2017-10-20,"Who is Kyuma kya Yesu, MP Simeo’s foe?",https://observer.ug/news/who-is-kyuma-kya-yesu-mp-simeo-s-foe/
2017-10-30,"I’m still consulting on age limit, says Nantaba",https://observer.ug/news/i-m-still-consulting-on-age-limit-says-nantaba/
2017-11-07,Age limits: Can referendum deliver the magic solution?,https://observer.ug/news/age-limits-can-referendum-deliver-the-magic-solution/
2017-11-14,It’s pay or die in public hospitals,https://observer.ug/news/it-s-now-pay-or-die-in-public-hospitals/
2017-11-14,Sudan’s Tarco airlines to start direct flights to Entebbe,https://observer.ug/news/sudan-s-tarco-airlines-to-start-direct-flights-to-entebbe/
2017-11-15,What now for Zimbabwe?,https://observer.ug/news/what-now-for-zimbabwe/
2017-11-16,Age limit consultation will achieve little – Prof Ssempebwa,https://observer.ug/news/age-limit-consultation-will-achieve-little-prof-ssempebwa/
2017-11-18,Protesters in Zimbabwe call for Mugabe to resign,https://observer.ug/news/protesters-in-zimbabwe-call-for-mugabe-to-resign/
2017-11-23,IUIU Medical School increases tuition,https://observer.ug/news/iuiu-medical-school-increases-tuition/
2017-11-27,Activity on social media may impact creditworthiness,https://observer.ug/business/activity-on-social-media-may-impact-creditworthiness/
