publication_date,title,url
2017-01-02,What businesses should expect in year 2017,https://observer.ug/business/what-businesses-should-expect-in-year-2017/
2017-01-04,Kasese leaders in chorus for peace at end-of-year prayers,https://observer.ug/news/kasese-leaders-in-chorus-for-peace-at-end-of-year-prayers/
2017-01-20,Katuntu to head oil cash bonus probe,https://observer.ug/news/katuntu-to-head-oil-cash-bonus-probe/
2017-03-15,Persons affected by refinery fault govt on broken promise,https://observer.ug/business/persons-affected-by-refinery-fault-govt-on-broken-promise/
2017-03-20,Nabakooba: The Kaweesi I knew,https://observer.ug/news/nabakooba-the-kaweesi-i-knew/
2017-04-13,Hundreds grace Kabaka’s birthday,https://observer.ug/news/hundreds-grace-kabaka-s-birthday/
2017-04-19,Man who demarcated Rwenzori national park dies in Kasese,https://observer.ug/news/man-who-demarcated-rwenzori-national-park-dies-in-kasese/
2017-05-01,"I’ll retire in Uganda, says Unesco boss",https://observer.ug/news/i-ll-retire-in-uganda-says-unesco-boss/
2017-05-01,Oil cash probe MPs beg from Museveni,https://observer.ug/news/oil-cash-probe-mps-beg-from-museveni/
2017-05-03,Some media challenges are self-inflicted – ACME,https://observer.ug/news/some-media-challenges-are-self-inflicted-acme/
2017-05-08,"Police, Ssekikubo cited in land dispute",https://observer.ug/news/police-ssekikubo-cited-in-land-dispute/
2017-05-29,DP to honour Ben Kiwanuka with a multibillion building,https://observer.ug/news/dp-to-honour-ben-kiwanuka-with-a-multibillion-building/
2017-05-31,EC sets new polling date for Kyadondo East,https://observer.ug/news/ec-sets-new-polling-date-for-kyadondo-east/
2017-06-07,Mugambe’s judgement wins people’s choice global award,https://observer.ug/news/mugambe-s-judgement-wins-people-s-choice-global-award/
2017-06-12,"MPs: Why budget is good, bad for Uganda",https://observer.ug/news/mps-why-budget-is-good-bad-for-uganda/
2017-06-18,Legal officer drags NDA to court over unfair dismissal,https://observer.ug/news/legal-officer-drags-nda-to-court-over-unfair-dismissal/
2017-07-17,"Defence, Justice atop most indebted govt list",https://observer.ug/news/defence-justice-atop-most-indebted-govt-list/
2017-07-24,Omugabi Mulindwa Muwonge bows out with a split legacy,https://observer.ug/news/omugabi-mulindwa-muwonge-bows-out-with-a-split-legacy/
2017-07-28,Mafabi wants Central Bank probed over Crane bank mess,https://observer.ug/news/mafabi-wants-central-bank-probed-over-crane-bank-mess/
2017-07-31,"Buganda to govt: don’t amend land laws, set up special court",https://observer.ug/news/buganda-to-govt-don-t-amend-land-laws-set-up-special-court/
2017-08-01,MP Kahonda out on bail,https://observer.ug/news/mp-kahonda-out-on-bail/
2017-08-02,Govt should only seize idle land – Alur premier,https://observer.ug/news/govt-should-only-seize-idle-land-alur-premier/
2017-08-09,ULC boss: gov’t will repossess Jinja property from Movit tycoon,https://observer.ug/news/ulc-boss-gov-t-will-repossess-jinja-property-from-movit-tycoon/
2017-08-14,Religious leaders speak out on presidential age limit,https://observer.ug/news/religious-leaders-speak-out-on-presidential-age-limit/
2017-08-28,"Museveni, Bobi Wine to square off in Kalungu poll",https://observer.ug/news/museveni-bobi-wine-to-square-off-in-kalungu-poll/
2017-08-28,SGS contract probe pins MP Sabiiti over conflict of interest,https://observer.ug/news/sgs-contract-probe-pins-mp-sabiiti-over-conflict-of-interest/
2017-09-04,NRM summons ‘errant’ MP Nambeshe over land bill,https://observer.ug/news/nrm-summons-errant-mp-nambeshe-over-land-bill/
2017-09-20,Mao: land bill a trick to remove age limit,https://observer.ug/news/mao-land-bill-a-trick-to-remove-age-limit/
2017-09-22,"Ugandans getting poorer, states PWC expert report",https://observer.ug/business/ugandans-getting-poorer-states-pwc-expert-report/
2017-10-02,"Parliament, police count the cost of September 27 violence",https://observer.ug/news/parliament-police-count-the-cost-of-september-27-violence/
2017-10-20,Can Uganda attract Chinese tourists?,https://observer.ug/business/can-uganda-attract-chinese-tourists/
2017-10-20,"Who is Kyuma kya Yesu, MP Simeo’s foe?",https://observer.ug/news/who-is-kyuma-kya-yesu-mp-simeo-s-foe/
2017-11-14,It’s pay or die in public hospitals,https://observer.ug/news/it-s-now-pay-or-die-in-public-hospitals/
2017-11-14,Sudan’s Tarco airlines to start direct flights to Entebbe,https://observer.ug/news/sudan-s-tarco-airlines-to-start-direct-flights-to-entebbe/
2017-11-23,IUIU Medical School increases tuition,https://observer.ug/news/iuiu-medical-school-increases-tuition/
2017-11-27,Activity on social media may impact creditworthiness,https://observer.ug/business/activity-on-social-media-may-impact-creditworthiness/
2017-11-30,PPDA suspends over 100 suppliers over forged documents,https://observer.ug/news/ppda-suspends-over-100-suppliers-over-forged-documents/
2017-12-05,Muntu sets terms to remain in FDC,https://observer.ug/news/muntu-sets-terms-to-remain-in-fdc/
2017-12-06,Court dismisses Katosi road suspect Senkeeto’s application,https://observer.ug/news/court-dismisses-katosi-road-fraud-suspect-senkeeto-application/
2017-12-13,Land probe runs into anti-Asian feelings,https://observer.ug/news/land-probe-runs-into-anti-asian-feelings/
