actor,driver,region,sector
Ministry of Education,land_row_dispute,Central,Roads/Transport
Police,land_row_dispute,Central,Roads/Transport
Government,governance_oversight_failure,Central,Roads/Transport
President Museveni,governance_oversight_failure,Central,Roads/Transport
Government,land_row_dispute,Central,Roads/Transport
Ministry of Education,land_row_dispute,Central,Roads/Transport
Parliament,land_row_dispute,Central,Roads/Transport
Court,land_row_dispute,Central,Land/Urban
Government,delay_time_overrun,Central,Roads/Transport
Ministry of Works,delay_time_overrun,Central,Roads/Transport
Court,land_row_dispute,Central,Oil/Gas
Police,land_row_dispute,Central,Oil/Gas
President Museveni,land_row_dispute,Central,Oil/Gas
Government,land_row_dispute,Central,Water/Sanitation
Ministry of Finance,land_row_dispute,Central,Water/Sanitation
Parliament,land_row_dispute,Central,Water/Sanitation
EACOP,land_row_dispute,Central,Energy
Government,land_row_dispute,Central,Energy
Ministry of Energy,land_row_dispute,Central,Energy
Ministry of Finance,land_row_dispute,Central,Energy
Parliament,land_row_dispute,Central,Energy
Court,procurement_irregularity,Eastern,Other
Government,procurement_irregularity,Eastern,Other
IGG,procurement_irregularity,Eastern,Other
Government,land_row_dispute,Northern,Energy
Court,delay_time_overrun,Northern,Other
Government,delay_time_overrun,Northern,Other
Parliament,delay_time_overrun,Northern,Other
Court,land_row_dispute,Central,Energy
Government,land_row_dispute,Central,Energy
Ministry of Finance,land_row_dispute,Central,Energy
Ministry of Health,land_row_dispute,Central,Energy
Parliament,land_row_dispute,Central,Energy
UNRA,land_row_dispute,Eastern,Roads/Transport
Court,land_row_dispute,Central,Buildings/Housing
Government,land_row_dispute,Central,Buildings/Housing
Ministry of Finance,land_row_dispute,Central,Buildings/Housing
Parliament,land_row_dispute,Central,Buildings/Housing
Government,land_row_dispute,Central,Energy
KCCA,land_row_dispute,Central,Energy
Ministry of Finance,land_row_dispute,Central,Energy
Parliament,land_row_dispute,Central,Energy
URA,land_row_dispute,Central,Energy
Government,land_row_dispute,Central,Roads/Transport
Police,land_row_dispute,Central,Roads/Transport
Court,land_row_dispute,Central,Other
Government,quality_technical_defect,Cross-border,Roads/Transport
Government,land_row_dispute,Northern,Water/Sanitation
NEMA,land_row_dispute,Northern,Water/Sanitation
President Museveni,land_row_dispute,Northern,Water/Sanitation
Court,land_row_dispute,Cross-border,Energy
Government,land_row_dispute,Central,Energy
Parliament,land_row_dispute,Central,Energy
Police,land_row_dispute,Central,Energy
President Museveni,land_row_dispute,Central,Energy
World Bank,land_row_dispute,Central,Energy
Parliament,land_row_dispute,Eastern,Other
