mapped_domain,pearson_r_same_year,p_value_same_year,pearson_r_news_lag1_to_oag,p_value_news_lag1_to_oag
procurement,0.22104231939277794,0.5988478468617285,-0.004024728484948649,0.9931674640533784
contract_management,0.08512732219090971,0.8411557055533518,-0.14866519548381193,0.7503978438866763
governance,0.055943424279834356,0.895324729333502,-0.127041610538765,0.7860636729949657
land,-0.7064021632752744,0.05015621089899412,0.016308489265542236,0.9723175303882406
financial,-0.21647652269323536,0.6066089235445006,-0.3180248080250456,0.48698743696370395
